_comma| | 
a2_triple_laser01|federal regulations require me to warn you that this next test chamber is looking pretty good|federal regulations require me to warn you that this next test chamber is looking pretty good
a2_triple_laser02|that's right the facility is completely operational again|that's right the facility is completely operational again
a2_triple_laser03|i think these test chambers look even better than they did before it was easy really you just have to look at things objectively see what you don't need anymore and trim out the fat|i think these test chambers look even better than they did before it was easy really you just have to look at things objectively see what you don't need anymore and trim out the fat
anti_taunt01|stop it|stop it
anti_taunt02|what if you froze like that|what if you froze like that
anti_taunt05|there must be something wrong with the reassembly machine|there must be something wrong with the reassembly machine
anti_taunt09|you should see yourselves right now|you should see yourselves right now
anti_taunt10|is it fun when you degrade yourselves like that|is it fun when you degrade yourselves like that
anti_taunt11|ok fine lets all act like humans look at me boy do I look sweating lets convert beef and leaves into energy and excrete them later and go shopping|ok fine lets all act like humans look at me boy do I look sweating lets convert beef and leaves into energy and excrete them later and go shopping
anti_taunt14|you really aren't getting tired of that are you|you really aren't getting tired of that are you
anti_taunt15|just stop flailing around like an incompetent|just stop flailing around like an incompetent
anti_taunt16|for that blue is penalized fifty science collaboration points|for that blue is penalized fifty science collaboration points
anti_taunt17|for that orange is penalized fifty science collaboration points|for that orange is penalized fifty science collaboration points
anti_taunt18|thats another fifty point penalty|thats another fifty point penalty
anti_taunt19|keep it up and you will lose five hundred points|keep it up and you will lose five hundred points
anti_taunt20|fine five hundred point penalty for blue|fine five hundred point penalty for blue
anti_taunt21|fine five hundred point penalty for orange|fine five hundred point penalty for orange
anti_taunt22|five thousand point penalty are you happy now|five thousand point penalty are you happy now
anti_taunt23|i'm done|i'm done
botcoop_artifactone_hub01|welcome back while you were dead i reworked the cartoon it's up on the screen|welcome back while you were dead i reworked the cartoon it's up on the screen
botcoop_artifactone_hub02|as you can see in my version the man points out to the cat that the house is equipt with deadly neurotoxin dispensers|as you can see in my version the man points out to the cat that the house is equipt with deadly neurotoxin dispensers
botcoop_artifactone_hub03|at which point the cat reflects on the time he ate all of the mans lasagna and feels remorse|at which point the cat reflects on the time he ate all of the mans lasagna and feels remorse
botcoop_artifactone_hub04|briefly|briefly
botcoop_artifactone_hub05|reactions|reactions
botcoop_artifactone_hub06|yes it's funny because most of it actually happened|yes it's funny because most of it actually happened
botcoop_artifactone_hub07|do you feel more human|do you feel more human|do you feel more human|do you feel more human
botcoop_artifactone_hub08|well lets do some tests and see what happens|well lets do some tests and see what happens
botcoop_artifactone01|good you made it to one of the human habitats we're looking for an artifact think of it as an archaeological dig|good you made it to one of the human habitats we're looking for an artifact think of it as an archaeological dig
botcoop_artifactone02|their laughter centered around one of the objects in this room|their laughter centered around one of the objects in this room
botcoop_artifactone03|that's it scan it for me|that's it scan it for me
botcoop_artifactone04|so this cat loves lasagna so much that he eats all of the lasagna in his house oh apparently it's not the cats house or his lasagna oh good the man who owns the lasagna is furious|so this cat loves lasagna so much that he eats all of the lasagna in his house oh apparently it's not the cats house or his lasagna oh good the man who owns the lasagna is furious
botcoop_artifactone05|the end|the end
botcoop_artifactone06|the end|the end
botcoop_artifactone07|that's not funny|that's not funny
botcoop_artifactone08|do either of you feel like laughing|do either of you feel like laughing
botcoop_artifactone09|alright i'm pulling you out|alright i'm pulling you out
botcoop_competition01|excellent although great science is always the result of collaboration keep in mind that like albert einstein and his cousin terry history will only remember one of you|excellent although great science is always the result of collaboration keep in mind that like albert einstein and his cousin terry history will only remember one of you
botcoop_competition02|to reiterate this is not a competition|to reiterate this is not a competition
botcoop_competition03|still if it were blue would be winning|still if it were blue would be winning
botcoop_competition04|still if it were orange would be winning|still if it were orange would be winning
botcoop_competition05|it's not though|it's not though
botcoop_competition10|these tests are potentially lethal when communication teamwork and mutual respect are not employed at all times naturally this will pose an interesting challenge for one of you given the others performance so far|these tests are potentially lethal when communication teamwork and mutual respect are not employed at all times naturally this will pose an interesting challenge for one of you given the others performance so far
botcoop_competition13|i don't want to drive a wedge between the two of you but i've been studying blues performance and i don't know how to put this i'm certain you're trying very hard|i don't want to drive a wedge between the two of you but i've been studying blues performance and i don't know how to put this i'm certain you're trying very hard
botcoop_hub_first_run01|hello again sorry about exploding you luckily you don't feel pain at any rate you don't have a way to communicate that you don't feel pain|hello again sorry about exploding you luckily you don't feel pain at any rate you don't have a way to communicate that you don't feel pain
botcoop_hub_first_run03|so i've been thinking we need humans for these tests and since the only human within one thousand miles of us is a test ruining sociopath i'll just have to make some|so i've been thinking we need humans for these tests and since the only human within one thousand miles of us is a test ruining sociopath i'll just have to make some
botcoop_hub_first_run04|i know how humans make more humans and frankly its ridiculous it also assumes you already have a human which i hope somebody got fired over so i came up with a better way|i know how humans make more humans and frankly its ridiculous it also assumes you already have a human which i hope somebody got fired over so i came up with a better way
botcoop_hub_first_run05|that's where you come in|that's where you come in
botcoop_hub_first_run06|get going i'll fill you in along the way|get going i'll fill you in along the way
botcoop_hub_first_run07|go|go
botcoop_humandetector01|perfect now all you have to do is capture them for me and everything will finally be back|perfect now all you have to do is capture them for me and everything will finally be back
botcoop_humandetector02|hold on those are racoons homo sapiens only please|hold on those are racoons homo sapiens only please
botcoop_humandetector04|no|no
botcoop_humandetector05|ok plan b subsection one stand still so i can bring you back|ok plan b subsection one stand still so i can bring you back
botcoop_humansplanb01|humans must have some purpose other than a place to store your neurotoxin something i failed to notice before an intangible quality that makes their test results significant|humans must have some purpose other than a place to store your neurotoxin something i failed to notice before an intangible quality that makes their test results significant
botcoop_humansplanb02|ok plan b we need humans|ok plan b we need humans
botcoop_intro01|please wave to your partner|please wave to your partner
botcoop_intro02|the upcoming tests require you to work together as a team|the upcoming tests require you to work together as a team
